Date,Date,non-OPEC Production change,WTI Real Price (GDP Deflated)
1Q 2001,2001,0.72,46.18
2Q 2001,2001,0.48,44.54
3Q 2001,2001,0.59,42.47
4Q 2001,2001,0.64,32.45
1Q 2002,2002,0.8,34.21
2Q 2002,2002,1.56,41.37
3Q 2002,2002,0.74,44.36
4Q 2002,2002,0.74,44.05
1Q 2003,2003,1.14,52.77
2Q 2003,2003,0.29,44.77
3Q 2003,2003,1.28,46.42
4Q 2003,2003,1.62,47.62
1Q 2004,2004,1.19,53.57
2Q 2004,2004,1.72,57.63
3Q 2004,2004,0.87,65.53
4Q 2004,2004,0.49,71.41
1Q 2005,2005,0.14,73.45
2Q 2005,2005,0.55,77.61
3Q 2005,2005,-0.34,91.65
4Q 2005,2005,-0.75,86.16
1Q 2006,2006,-0.16,90.28
2Q 2006,2006,-0.44,99.61
3Q 2006,2006,1.2,99
4Q 2006,2006,1.04,83.79
1Q 2007,2007,0.58,80.39
2Q 2007,2007,0.59,89.36
3Q 2007,2007,-0.18,103.04
4Q 2007,2007,0.12,123.48
1Q 2008,2008,0.05,132.82
2Q 2008,2008,-0.03,167.39
3Q 2008,2008,-0.12,158.74
4Q 2008,2008,-0.02,78.61
1Q 2009,2009,0.26,57.77
2Q 2009,2009,0.55,79.94
3Q 2009,2009,1.36,91.24
4Q 2009,2009,1.36,101.48
1Q 2010,2010,1.65,104.97
2Q 2010,2010,1.9,103.17
3Q 2010,2010,1.67,100.48
4Q 2010,2010,1.75,111.93
1Q 2011,2011,0.97,122.95
2Q 2011,2011,0.24,132.39
3Q 2011,2011,0.25,115.52
4Q 2011,2011,0.29,121.29
1Q 2012,2012,0.86,131.92
2Q 2012,2012,0.68,119.06
3Q 2012,2012,0.52,116.91
4Q 2012,2012,1.17,111.16
1Q 2013,2013,0.61,118.67
2Q 2013,2013,1.55,117.97
3Q 2013,2013,2.37,132.04
4Q 2013,2013,1.96,120.96
1Q 2014,2014,2.32,121.93
2Q 2014,2014,2.61,126.97
3Q 2014,2014,2.36,119.69
4Q 2014,2014,2.79,89.47
1Q 2015,2015,2.43,59.26
2Q 2015,2015,1.6,70.31
3Q 2015,2015,1.42,56.44
4Q 2015,2015,0.41,50.85
1Q 2016,2016,-0.07,40.46
2Q 2016,2016,-0.91,54.78
3Q 2016,2016,-1.13,53.89
4Q 2016,2016,-0.54,58.77
1Q 2017,2017,0,61.38
2Q 2017,2017,0.94,57
3Q 2017,2017,1.05,56.76
4Q 2017,2017,1.02,64.72
1Q 2018,2018,1.75,73.18
2Q 2018,2018,2.56,78.6
3Q 2018,2018,3.48,80.1
4Q 2018,2018,3.52,68.21
1Q 2019,2019,2.35,62.52
2Q 2019,2019,2.1,67.91
3Q 2019,2019,1.53,63.69
4Q 2019,2019,1.84,64.07
1Q 2020,2020,2.45,50.85
2Q 2020,2020,-3.94,31.47
3Q 2020,2020,-3.88,45.62
4Q 2020,2020,-4.61,47.12
1Q 2021,2021,-4.45,63.6
2Q 2021,2021,2.68,71.38
3Q 2021,2021,2.39,75.01
4Q 2021,2021,2.74,80.74
1Q 2022,2022,2.65,97.49
2Q 2022,2022,1.09,109.2
3Q 2022,2022,1.61,92.3
4Q 2022,2022,1.33,81.23
1Q 2023,2023,1.91,73.88
2Q 2023,2023,2.55,70.94
3Q 2023,2023,2.05,75.85
4Q 2023,2023,1.94,78.72
1Q 2024,2024,1.31,78.48
2Q 2024,2024,1.25,77.1
3Q 2024,2024,1.18,75.7
4Q 2024,2024,1.15,74.31
